标题,标题1,标题2,标题3,标题4,标题5,内容,keyword
数据采集,贵州贵宏源建筑装饰工程有限公司,贵州省贵阳市,数据处理,1-3年,2026-07-01,"薪酬:500-1000元/月
学历:中专/中技
经验:1-3年
来源:BOSS直聘",数据
数据标注专员,驻马店青承数产科技有限公司,河南省驻马店市,数据处理,不限,2026-07-01,"薪酬:3000-8000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
PA数据标注项目助理,澳鹏数据科技上海有限公司,江苏省无锡市,数据处理,不限,2026-07-01,"薪酬:5000-6000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
数据采标员,长沙辰枢数智科技有限公司,湖南省长沙市,技术,1-3年,2026-07-01,"薪酬:3000-4000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
数据标注,辽宁拾宜数智信息科技有限公司,辽宁省沈阳市,数据处理,不限,2026-07-01,"薪酬:4000-5000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
数据采集机器人数据采集,北京云百讯科技有限公司,上海市,数据处理,不限,2026-07-01,"薪酬:4000-5000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据采集,江西有一乐教育科技有限公司,湖北省武汉市,数据处理,1-3年,2026-07-01,"薪酬:4000-6000元/月
学历:不限
经验:1-3年
来源:BOSS直聘",数据
今天面试 明天上班-数据标注专员,寰宇智链山东大数据集团有限公司,山东省淄博市,数据处理,不限,2026-07-01,"薪酬:3000-6000元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据采集,黑龙江庚午文化传媒有限公司,黑龙江省大庆市,数据处理,1-3年,2026-07-01,"薪酬:4000-7000元/月
学历:中专/中技
经验:1-3年
来源:BOSS直聘",数据
数据采集员（太仓）,江苏财酷大数据科技有限公司,江苏省苏州市,数据处理,不限,2026-07-01,"薪酬:500-2100元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
文本编辑采集数据整理,山东海蓝数科信息科技有限公司,山东省青岛市,数据处理,1-3年,2026-07-01,"薪酬:3000-6000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
兼职   数据采集员,盘锦市兴隆台区安乾源数据服务中心个体工商户,辽宁省盘锦市,数据处理,不限,2026-07-01,"薪酬:20-30元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据采集,云南智禾农联科技有限公司,云南省昆明市,数据处理,不限,2026-07-01,"薪酬:3000-5000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据标注,鸡泽县帅旗五金机械店,河北省邯郸市,数据处理,不限,2026-07-01,"薪酬:3000-5000元/月
学历:中专/中技
经验:不限
来源:BOSS直聘",数据
数据采集员（太仓）,江苏财酷大数据科技有限公司,江苏省苏州市,数据处理,不限,2026-07-01,"薪酬:500-2100元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据采集员（太仓）,江苏财酷大数据科技有限公司,江苏省苏州市,数据处理,不限,2026-07-01,"薪酬:500-2100元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据产品经理,佛山美云智数科技有限公司,广东省佛山市,产品,5-10年,2026-07-01,"薪酬:13000-15000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
数据分析师,吉客印郑州数字科技有限公司,河南省郑州市,数据分析,3-5年,2026-07-01,"薪酬:10000-15000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据员,广西智新技术咨询服务有限责任公司,广西壮族自治区贺州市,技术,1-3年,2026-07-01,"薪酬:4000-6000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
数据标注,河南速圹信息科技有限公司,河南省开封市,数据处理,不限,2026-07-01,"薪酬:3000-5000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
大模型数据交付项目经理,砺英数智北京数据技术有限公司沈阳分公司,辽宁省沈阳市,技术,3-5年,2026-07-01,"薪酬:7000-12000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
IDC土建经理（甲方-数据中心经历）,港城云联苏州数据系统有限公司,江苏省苏州市,技术,5-10年,2026-07-01,"薪酬:18000-25000元/月
学历:大专
经验:5-10年
来源:BOSS直聘",数据
数据采集员（吴江松陵）,江苏财酷大数据科技有限公司,江苏省苏州市,数据处理,不限,2026-07-01,"薪酬:500-2100元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
视听数据标注实习生,四川灵泽数汇数据科技有限公司,四川省眉山市,数据处理,不限,2026-07-01,"薪酬:3000-5000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
IDC项目经理（甲方-数据中心经历）,港城云联苏州数据系统有限公司,江苏省苏州市,技术,5-10年,2026-07-01,"薪酬:18000-25000元/月
学历:大专
经验:5-10年
来源:BOSS直聘",数据
后端开发工程师·数据标注,澳鹏数据科技重庆有限公司,上海市,技术,1-3年,2026-07-01,"薪酬:30-50元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
数据采集员（昆山）,江苏财酷大数据科技有限公司,江苏省苏州市,数据处理,不限,2026-07-01,"薪酬:500-2100元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据采集员（吴江黎里）,江苏财酷大数据科技有限公司,江苏省苏州市,数据处理,不限,2026-07-01,"薪酬:500-2100元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据采集员（吴江盛泽）,江苏财酷大数据科技有限公司,江苏省苏州市,数据处理,不限,2026-07-01,"薪酬:500-2100元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据采集专员,淮安市苔藓智基数据科技有限公司,江苏省淮安市,数据处理,不限,2026-07-01,"薪酬:4000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据工程师,稷量数字科技北京有限公司,北京市,技术,1-3年,2026-07-01,"薪酬:15000-20000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
金融AI数据标注-周末双休，早九晚六,澳鹏数据科技上海有限公司,辽宁省大连市,算法/AI,不限,2026-07-01,"薪酬:4000-5000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
数据治理专家,美云智数科技有限公司,北京市,技术,5-10年,2026-07-01,"薪酬:20000-40000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
AI 数据产品经理,广州众成大数据科技有限公司,广东省广州市,算法/AI,1-3年,2026-07-01,"薪酬:11000-18000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
数据采集员可兼职张家港地区,江苏财酷大数据科技有限公司,江苏省苏州市,数据处理,不限,2026-07-01,"薪酬:500-2100元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据测试工程师,杭州颖数科技有限责任公司,浙江省杭州市,技术,5-10年,2026-07-01,"薪酬:11000-20000元/月
学历:大专
经验:5-10年
来源:BOSS直聘",数据
数据工程师,庐山文控数字科技有限责任公司,江西省九江市,技术,1-3年,2026-07-01,"薪酬:6000-7000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
数据采集组长,贵州数策智算科技有限公司,贵州省贵阳市,数据处理,1-3年,2026-07-01,"薪酬:4000-6000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
主数据咨询顾问,盟拓数字科技苏州有限公司,江苏省南京市,技术,10年以上,2026-07-01,"薪酬:18000-30000元/月
学历:本科
经验:10年以上
来源:BOSS直聘",数据
数据治理,知行数治北京信息技术有限公司,北京市,技术,5-10年,2026-07-01,"薪酬:15000-16000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
数据治理-数据架构师,道致科技北京有限公司,北京市,技术,10年以上,2026-07-01,"薪酬:20000-22000元/月
学历:本科
经验:10年以上
来源:BOSS直聘",数据
资深数据分析师,杭州颖数科技有限责任公司,浙江省杭州市,数据分析,5-10年,2026-07-01,"薪酬:15000-25000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
数据标注专员,沈阳聚数软件科技有限公司,辽宁省沈阳市,数据处理,不限,2026-07-01,"薪酬:2000-3000元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
AI数据标注,重庆睿数智服科技有限公司,重庆市,算法/AI,不限,2026-07-01,"薪酬:3000-5000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据开发工程师,华银数字科技北京有限公司,北京市,技术,5-10年,2026-07-01,"薪酬:15000-20000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
数据标注储备主管,光线数联嘉兴科技有限公司,浙江省嘉兴市,数据处理,1-3年,2026-07-01,"薪酬:5000-10000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
主数据咨询顾问,盟拓数字科技苏州有限公司,江苏省苏州市,技术,10年以上,2026-07-01,"薪酬:18000-30000元/月
学历:本科
经验:10年以上
来源:BOSS直聘",数据
数据中台 负责人,中铝数为成都科技有限责任公司,北京市,技术,5-10年,2026-07-01,"薪酬:25000-35000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
临床医生（AI 数据标注）,数坤科技股份有限公司,北京市,算法/AI,3-5年,2026-07-01,"薪酬:100-120元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据/策略运营 广告运营 数据分析,桂林悦程信息科技有限公司,广西壮族自治区桂林市,数据分析,不限,2026-07-01,"薪酬:4000-9000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
AI大数据标注专员,贵州云栈数境科技有限公司,贵州省黔东南苗族侗族自治州,算法/AI,不限,2026-07-01,"薪酬:4000-9000元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
美学数据/不销售/纯文职,河北航数科技有限公司,山西省太原市,技术,不限,2026-07-01,"薪酬:3000-4000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
电商数据分析师（天猫 数据银行）,上海亿川贸易有限公司,上海市,数据分析,3-5年,2026-07-01,"薪酬:14000-18000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
粤语数据标注员（全职）,惠州市安尔数字科技有限公司,广东省惠州市,数据处理,不限,2026-07-01,"薪酬:4000-5000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
粤语数据标注员（全职）,惠州市安尔数字科技有限公司,广东省惠州市,数据处理,不限,2026-07-01,"薪酬:4000-5000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据治理项目经理,数联信成都网络信息技术有限公司,河北省保定市,技术,5-10年,2026-07-01,"薪酬:11000-18000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
数据治理项目经理,数联信成都网络信息技术有限公司,四川省成都市,技术,5-10年,2026-07-01,"薪酬:13000-18000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
数据AI技术负责人,零一数科深圳科技有限公司,浙江省杭州市,算法/AI,5-10年,2026-07-01,"薪酬:35000-50000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
数据标注/AI训练师,中芯数智科技江苏有限公司,江苏省淮安市,算法/AI,不限,2026-07-01,"薪酬:3000-5000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据科学家-国际化数据生产平台,北京字跳网络技术有限公司,上海市,技术,3-5年,2026-07-01,"薪酬:20000-40000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据治理经理-物料主数据方向,广东邦普循环科技有限公司,广东省佛山市,技术,5-10年,2026-07-01,"薪酬:25000-35000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
大数据标注运营总监,贵州云栈数境科技有限公司,贵州省贵阳市,数据处理,1-3年,2026-07-01,"薪酬:8000-13000元/月
学历:不限
经验:1-3年
来源:BOSS直聘",数据
数据标注/ai训练师,长沙辰枢数智科技有限公司,湖南省长沙市,数据处理,不限,2026-07-01,"薪酬:3000-5000元/月
学历:本科
来源:BOSS直聘",数据
数据专员,陕西鸿焱网络科技有限公司,陕西省西安市,技术,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据采集,四川网极智元科技有限公司,四川省成都市,数据处理,不限,2026-07-01,"薪酬:8000-13000元/月
学历:硕士
经验:不限
来源:BOSS直聘",数据
数据分析,山西启航新程网络科技有限公司,山西省运城市,数据分析,不限,2026-07-01,"薪酬:3000-6000元/月
学历:高中
来源:BOSS直聘",数据
数据标注,湛江成大科技有限责任公司,广东省湛江市,数据处理,不限,2026-07-01,"薪酬:3000-4000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据开发,河南橙星纪元信息技术有限公司,河南省郑州市,技术,3-5年,2026-07-01,"薪酬:6000-11000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据研发工程师/专家,支付宝杭州数字服务技术有限公司,重庆市,技术,5-10年,2026-07-01,"薪酬:20000-40000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
AI数据工程师/数据挖掘-阿里-杭州,阿里巴巴中国有限公司,浙江省杭州市,技术,不限,2026-07-01,"薪酬:25000-50000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
数据采集,南阳辰涵商贸有限公司,河南省南阳市,数据处理,不限,2026-07-01,"薪酬:3000-4000元/月
学历:不限
来源:BOSS直聘",数据
数据安全工程师-海口大客户驻场,北京神州数码有限公司,海南省海口市,技术,1-3年,2026-07-01,"薪酬:9000-10000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
数据开发,道致科技北京有限公司,北京市,技术,不限,2026-07-01,"薪酬:15000-20000元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据标注,河南瀚晖智能科技有限公司,河南省洛阳市,数据处理,不限,2026-07-01,"薪酬:3000-6000元/月
学历:高中
经验:不限
来源:BOSS直聘",数据
数据专员,石家庄皇金科技有限公司,河北省石家庄市,技术,1-3年,2026-07-01,"薪酬:4000-6000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
数据文员,佛山市极加门窗有限公司,湖北省荆州市,技术,1-3年,2026-07-01,"薪酬:4000-5000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
数据分析,义乌市爱沙贸易有限公司,浙江省金华市,数据分析,1-3年,2026-07-01,"薪酬:6000-8000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
数据专员,山西艺溪云智科技有限责任公司,浙江省绍兴市,技术,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据分析,成都曦和云创科技有限公司,陕西省西安市,数据分析,3-5年,2026-07-01,"薪酬:13000-20000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据开发,艾琳深圳品牌运营有限公司,广东省深圳市,技术,1-3年,2026-07-01,"薪酬:10000-15000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
数据分析,深圳市威沃斯国际旅游有限公司,广东省深圳市,数据分析,不限,2026-07-01,"薪酬:5000-6000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
数据标注,淮安明玲信息技术有限公司,江苏省淮安市,数据处理,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据运营,上海益猿科技有限公司,上海市,运营/策略,不限,2026-07-01,"薪酬:6000-9000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据文员,广州翰代维服装有限公司,广东省广州市,技术,不限,2026-07-01,"薪酬:4000-6000元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据审核,山西艺溪云智科技有限责任公司,湖北省武汉市,技术,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据开发,维恩贝特科技有限公司,新疆维吾尔自治区乌鲁木齐市,技术,3-5年,2026-07-01,"薪酬:8000-10000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据治理,上海晟之福科技有限公司,四川省成都市,技术,3-5年,2026-07-01,"薪酬:10000-11000元/月
学历:大专
经验:3-5年
来源:BOSS直聘",数据
数据审核,山西艺溪云智科技有限责任公司,湖北省武汉市,技术,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据分析,软通动力信息技术集团股份有限公司,江苏省南京市,数据分析,不限,2026-07-01,"薪酬:7000-12000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
数据标注专员-多模态模型数据运营专家,成都小咖邦智能科技有限公司,四川省成都市,数据处理,不限,2026-07-01,"薪酬:11000-17000元/月
学历:本科
来源:BOSS直聘",数据
数据专员,杭州光之亮信息技术有限公司,浙江省杭州市,技术,1-3年,2026-07-01,"薪酬:6000-11000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
数据采集,上海慧神笔智能科技有限公司,上海市,数据处理,3-5年,2026-07-01,"薪酬:11000-18000元/月
学历:大专
经验:3-5年
来源:BOSS直聘",数据
生产数据员,东莞市艾酷奇科技有限公司,广东省东莞市,技术,1-3年,2026-07-01,"薪酬:5000-6000元/月
学历:中专/中技
经验:1-3年
来源:BOSS直聘",数据
数据标注员+双休+小白可上手,泉行智数郑州科技有限公司,河南省郑州市,数据处理,不限,2026-07-01,"薪酬:4000-6000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
数据分析师,上海锦象资产管理有限公司,上海市,数据分析,3-5年,2026-07-01,"薪酬:18000-30000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据采集,内蒙古杰尼赛思信息科技有限责任公司,山西省临汾市,数据处理,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据采集,淮安臻标科技有限公司,江苏省淮安市,数据处理,不限,2026-07-01,"薪酬:3000-6000元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
ai数据标注员（朝九晚六）,惠州市智创数字科技有限公司,四川省成都市,数据处理,不限,2026-07-01,"薪酬:3000-5000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
大数据开发工程师（专利数据、诉讼数据）,北京八月瓜科技有限公司,上海市,技术,5-10年,2026-07-01,"薪酬:20000-35000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
数据分析(A104268),元保数科北京科技有限公司,北京市,数据分析,3-5年,2026-07-01,"薪酬:20000-30000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据治理,武汉讯锡云科技有限公司,安徽省芜湖市,技术,5-10年,2026-07-01,"薪酬:13000-19000元/月
学历:大专
经验:5-10年
来源:BOSS直聘",数据
数据分析师,南京牧之进出口有限公司,江苏省南京市,数据分析,3-5年,2026-07-01,"薪酬:13000-18000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据开发,北京云端微服科技有限公司,海南省海口市,技术,3-5年,2026-07-01,"薪酬:9000-10000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据中心基础设施电气工程师,恒华数字科技集团有限公司,山西省大同市,技术,3-5年,2026-07-01,"薪酬:12000-14000元/月
学历:大专
经验:3-5年
来源:BOSS直聘",数据
数据标注,上海点微网络科技有限公司,上海市,数据处理,不限,2026-07-01,"薪酬:6000-8000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据采集,临沂智徽智能科技有限公司,山东省临沂市,数据处理,不限,2026-07-01,"薪酬:2000-5000元/月
学历:中专/中技
来源:BOSS直聘",数据
数据审核,山西星辰启航信息科技有限公司,浙江省绍兴市,技术,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据标注/AI训练师 双休 五险,泉行智数郑州科技有限公司,河南省郑州市,算法/AI,不限,2026-07-01,"薪酬:4000-6000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
数据标注员,长葛市朋程科技有限公司,河南省许昌市,数据处理,不限,2026-07-01,"薪酬:3000-7000元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据标注员,承德丰瀚商贸有限公司,河北省承德市,数据处理,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据录入员,辽宁万鑫晟资源循环利用有限公司,辽宁省辽阳市,技术,不限,2026-07-01,"薪酬:2000-3000元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据分析师,湖南省极兔速递有限公司,湖南省长沙市,数据分析,1-3年,2026-07-01,"薪酬:6000-9000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
数据安全岗,广发基金管理有限公司,广东省广州市,技术,3-5年,2026-07-01,"薪酬:18000-35000元/月
学历:硕士
经验:3-5年
来源:BOSS直聘",数据
数据标注员,北京集纳盛广网络科技有限公司,河北省保定市,数据处理,不限,2026-07-01,"薪酬:3000-4000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据分析师,郑州引力琥珀人工智能科技有限公司,河南省郑州市,数据分析,不限,2026-07-01,"薪酬:3000-7000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
数据分析师,平安银行股份有限公司,广东省深圳市,数据分析,3-5年,2026-07-01,"薪酬:20000-40000元/月
学历:硕士
经验:3-5年
来源:BOSS直聘",数据
数据分析师,吉利汽车研究院宁波有限公司,上海市,数据分析,3-5年,2026-07-01,"薪酬:20000-30000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据工程师,惠州市德赛西威汽车电子股份有限公司,上海市,技术,1-3年,2026-07-01,"薪酬:20000-35000元/月
学历:硕士
经验:1-3年
来源:BOSS直聘",数据
数据分析师,厦门和新科技股份有限公司,福建省厦门市,数据分析,1-3年,2026-07-01,"薪酬:9000-14000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
数据标注员,聊城聊电快租科技有限公司,山东省聊城市,数据处理,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据架构师,灵动智慧标识甘肃有限公司,甘肃省兰州市,技术,1-3年,2026-07-01,"薪酬:4000-7000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
数据分析师,上海睿能艾特信息科技有限公司,湖南省长沙市,数据分析,3-5年,2026-07-01,"薪酬:12000-20000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据科学家,上海得物信息集团有限公司,上海市,技术,3-5年,2026-07-01,"薪酬:45000-75000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
AI数据员,上海益猿科技有限公司,上海市,算法/AI,不限,2026-07-01,"薪酬:5000-7000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据分析师,上海旺旺食品集团有限公司,上海市,数据分析,3-5年,2026-07-01,"薪酬:15000-24000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据标注员,开封市瑞崇云科技有限责任公司,河南省开封市,数据处理,不限,2026-07-01,"薪酬:4000-6000元/月
学历:高中
经验:不限
来源:BOSS直聘",数据
数据工程师,力信通信息科技苏州有限公司,江苏省苏州市,技术,5-10年,2026-07-01,"薪酬:20000-30000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
数据标注师,山西星辰启航信息科技有限公司,湖北省武汉市,数据处理,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据分析师,杭州奋兮科技有限公司,浙江省杭州市,数据分析,3-5年,2026-07-01,"薪酬:15000-25000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据采集员,北京云百讯科技有限公司,上海市,数据处理,不限,2026-07-01,"薪酬:4000-5000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据单证员,河北顺达恒星物流有限公司,河北省保定市,技术,不限,2026-07-01,"薪酬:3000-5000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
法拍数据=入职即给-有经验的挣米的来,数蜂上海科技有限公司,上海市,技术,不限,2026-07-01,"薪酬:30000-35000元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据工程师（数据清洗、知识库与评测构建）,上海光之宇智能科技有限公司,上海市,技术,1-3年,2026-07-01,"薪酬:15000-25000元/月
学历:硕士
经验:1-3年
来源:BOSS直聘",数据
数据管理员,浙江伟星实业发展股份有限公司,浙江省台州市,技术,不限,2026-07-01,"薪酬:6000-9000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
数据分析师,郑州引力琥珀人工智能科技有限公司,河南省郑州市,数据分析,不限,2026-07-01,"薪酬:3000-7000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
资深后端开发工程师（数据领域）,杭州颖数科技有限责任公司,浙江省杭州市,技术,5-10年,2026-07-01,"薪酬:15000-25000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
数据分析师,上海骑形网络科技有限公司,上海市,数据分析,3-5年,2026-07-01,"薪酬:8000-10000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据标注员,武汉映瑞电力科技有限公司,湖北省武汉市,数据处理,不限,2026-07-01,"薪酬:4000-5000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据工程师,智治心禾上海智能科技有限公司,上海市,技术,1-3年,2026-07-01,"薪酬:20000-24000元/月
学历:硕士
经验:1-3年
来源:BOSS直聘",数据
仓库数据员,爱派克斯供应链上海有限公司,广东省惠州市,技术,1-3年,2026-07-01,"薪酬:5000-7000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
数据工程师,深圳市基克纳科技有限公司,广东省珠海市,技术,3-5年,2026-07-01,"薪酬:15000-25000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据分析师,政通智慧城市运营科技有限公司广州第二分公司,广西壮族自治区梧州市,数据分析,3-5年,2026-07-01,"薪酬:8000-9000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据工程师,普洛药业股份有限公司,浙江省金华市,技术,3-5年,2026-07-01,"薪酬:10000-15000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
ai数据标注,西安伍字节信息科技有限公司,陕西省西安市,数据处理,不限,2026-07-01,"薪酬:3000-5000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
数据标注专员,万声通讯实业有限公司,浙江省金华市,数据处理,不限,2026-07-01,"薪酬:4000-5000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
ai数据标注,石家庄皋舟网络科技有限公司,河北省石家庄市,数据处理,不限,2026-07-01,"薪酬:3000-7000元/月
学历:中专/中技
经验:不限
来源:BOSS直聘",数据
数据标注专员,定州青葵科技有限公司,宁夏回族自治区银川市,数据处理,不限,2026-07-01,"薪酬:100-150元/月
学历:高中
来源:BOSS直聘",数据
数据资源管理,环翠区圣禾食品百货商行,山东省威海市,技术,1-3年,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
数据产品经理,武汉讯锡云科技有限公司,安徽省芜湖市,产品,5-10年,2026-07-01,"薪酬:12000-18000元/月
学历:大专
经验:5-10年
来源:BOSS直聘",数据
数据生产专员,上海极豆科技有限公司,北京市,技术,3-5年,2026-07-01,"薪酬:14000-18000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
中级数据治理,北京软通动力云计算科技服务有限公司,安徽省芜湖市,技术,5-10年,2026-07-01,"薪酬:11000-13000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
ai数据标注,西安纳维通信技术有限公司,陕西省西安市,数据处理,不限,2026-07-01,"薪酬:3000-4000元/月
学历:大专
来源:BOSS直聘",数据
数据处理专员,河北滴创教育科技集团有限公司,河北省石家庄市,技术,1-3年,2026-07-01,"薪酬:5000-7000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
数据标注专员,邢台太上电子商务有限公司,河北省邢台市,数据处理,不限,2026-07-01,"薪酬:3000-5000元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据标注专家,山西星辰启航信息科技有限公司,浙江省绍兴市,数据处理,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据采集专员,北京汇畅智联科技有限公司,河北省邯郸市,数据处理,不限,2026-07-01,"薪酬:3000-5000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据统计专员,宝鸡市泰之华钛业有限公司,陕西省宝鸡市,技术,不限,2026-07-01,"薪酬:3000-4000元/月
学历:高中
经验:不限
来源:BOSS直聘",数据
